narK	nrfABCDEFG	dnaKJ	ibpAB	grpE	hflB	clpP	htpG	FruR	ptsHI_crr	icdA	cpxAR	uhpT	tonB	dnaA	narL	deoR	uppS_cdsA_ecfE	mglBAC	ebgAC	malK_lamB_malM	mopB	fucPIKUR	fecIR	tnaLAB	sodA	deoCABD	fepB	yhfA	glgS	acs	htrA	srlAEBD_gutM_srlR_gutQ	caiF	fur	ecfK	rpoH	mopA	rpoE_rseABC	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	cirA	cyaA	speC	araBAD	ansB	nagBACD	araJ	nupG	araC	ivbL_ilvBN	fnr	malS	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	htpY	malI	pspABCDE	malT	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	marRAB	cyoABCDE	soxS	nfo	rpoD	tsx	caiTABCDE	himA	dcuB_fumB	cytR	gntKU	arcA	fhuACDB	frdABCD	ecfD	malEFG	appY	focA_pflB	aceBAK	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	lon
cirA	ecfD	caiF	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	yhfA	ecfK	gntKU	nupG	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	nagBACD	araJ	narK	ivbL_ilvBN	uhpT	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	icdA	tsx	hflB	arcA	fhuACDB	frdABCD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
ecfH	uppS_cdsA_ecfE	rpoD	ecfG	ecfK	rpoE_rseABC	fkpA	ecfABC	cirA	clpP	htpG	hflB	grpE	mopB	soxS	malK_lamB_malM	fecIR	mglBAC	sodA	tnaLAB	caiF	deoCABD	fepB	glgS	htrA	fucPIKUR	ebgAC	araC	ansB	fnr	acs	araJ	srlAEBD_gutM_srlR_gutQ	yhfA	rpoH	mopA	ibpAB	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	nagBACD	cytR	nupG	fur	himA	ivbL_ilvBN	narK	malS	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	deoR	tsx	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	gntT	nrfABCDEFG	gntKU	dcuB_fumB	uhpT	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
cyoABCDE	gltA	himA	ompC	araJ	sodA	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	tnaLAB	ecfK	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	fur	caiF	nupG	narK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	cytR	ivbL_ilvBN	gntKU	uhpT	cydAB	manXYZ	appCBA	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	tonB	soxS	nfo	rpoD	gntT	tsx	nrfABCDEFG	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	ecfG	melAB	tdcABCDEFG	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
narL	focA_pflB	lon	himA	fnr	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	fepB	fur	glgS	htrA	cytR	acs	ebgAC	araC	ansB	yhfA	ecfK	gntKU	xprB_dsbC_recJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	lpxDA_fabZ	nupG	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	narK	caiF	uhpT	icdA	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	cydAB	gntT	melAB	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	appY	dcuB_fumB	ecfG	tdcABCDEFG	tsx	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	ivbL_ilvBN
araC	lon	nrfABCDEFG	narK	arcA	appCBA	frdABCD	aceBAK	tnaLAB	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	htpG	deoCABD	yhfA	glgS	htrA	acs	ebgAC	rpoH	ansB	fnr	himA	fepB	fur	rpoE_rseABC	dnaA	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	ptsHI_crr	mopA	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	nupG	cytR	ecfK	caiF	gntKU	pspABCDE	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	sdhCDAB_b0725_sucABCD	uhpT	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	cydAB	gntT	tsx	icdA	hflB	fhuACDB	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	caiTABCDE	malT	ivbL_ilvBN
gltA	cyoABCDE	fecIR	xprB_dsbC_recJ	cpxAR	gntKU	yhfA	fucAO	fucPIKUR	malK_lamB_malM	uhpT	ivbL_ilvBN	uppS_cdsA_ecfE	ecfH	fkpA	ecfK	rpoD	ecfG	rpoE_rseABC	lpxDA_fabZ	sdhCDAB_b0725_sucABCD	appY	fhuACDB	fur	manXYZ	srlAEBD_gutM_srlR_gutQ	malI	pspABCDE	marRAB	tonB	fepB	tnaLAB	mglBAC	mopB	sodA	glgS	htrA	deoCABD	araBAD	nupG	ppiA	rpoH	mopA	htpG	ibpAB	ecfABC	crp	araE	dnaA	araJ	ptsHI_crr	cirA	cyaA	speC	ebgAC	clpP	nagBACD	acs	caiF	araC	caiTABCDE	nrfABCDEFG	tsx	gntT	cydAB	appCBA	ompC	yjdHG	htpY	dnaKJ	malS	grpE	deoR	dmsABC	ostA_surA_pdxA	FruR	soxS	nfo	malT	aceBAK	ansB	nuoABCEFGHIJKLMN	fnr	himA	cytR	narK	icdA	hflB	arcA	frdABCD	ecfD	malEFG	narL	dcuB_fumB	focA_pflB	melAB	tdcABCDEFG	fixABCX	hypABCDE	lon
melAB	malS	malT	speC	araBAD	mglBAC	crp	malEFG	glgS	ebgAC	gntT	mopB	fucPIKUR	srlAEBD_gutM_srlR_gutQ	malK_lamB_malM	yhfA	uppS_cdsA_ecfE	caiF	fecIR	fur	tnaLAB	deoCABD	fepB	htrA	acs	araC	ansB	fnr	sodA	nupG	ecfK	cytR	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	clpP	nagBACD	araJ	himA	ivbL_ilvBN	narK	pspABCDE	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	sdhCDAB_b0725_sucABCD	cydAB	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	tsx	gntKU	dcuB_fumB	uhpT	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	focA_pflB	nrfABCDEFG	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
malEFG	malT	gntT	ebgAC	mglBAC	araBAD	glgS	crp	ivbL_ilvBN	fucPIKUR	malK_lamB_malM	yhfA	fucAO	gntKU	uhpT	malS	cyaA	melAB	tsx	mopB	araC	srlAEBD_gutM_srlR_gutQ	tnaLAB	acs	sodA	fepB	uppS_cdsA_ecfE	fecIR	deoCABD	htrA	nupG	fur	xprB_dsbC_recJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	lpxDA_fabZ	ecfK	ppiA	dnaA	ptsHI_crr	cirA	speC	clpP	nagBACD	araJ	fnr	ansB	caiF	himA	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	cytR	nrfABCDEFG	narK	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
malEFG	malT	gntT	ebgAC	mglBAC	speC	glgS	crp	ivbL_ilvBN	fucPIKUR	malK_lamB_malM	yhfA	fucAO	gntKU	uhpT	melAB	cyaA	malS	tsx	fepB	uppS_cdsA_ecfE	htrA	sodA	acs	mopB	fecIR	deoCABD	srlAEBD_gutM_srlR_gutQ	araC	tnaLAB	nupG	fur	xprB_dsbC_recJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	lpxDA_fabZ	ecfK	ppiA	dnaA	ptsHI_crr	cirA	araBAD	clpP	nagBACD	araJ	fnr	ansB	caiF	himA	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	cytR	nrfABCDEFG	narK	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
grpE	hflB	htpG	lon	srlAEBD_gutM_srlR_gutQ	ecfK	ecfG	uppS_cdsA_ecfE	lpxDA_fabZ	fkpA	ecfH	rpoE_rseABC	rpoD	mopA	tsx	appCBA	arcA	rpoH	caiF	cpxAR	htrA	nagBACD	araJ	nupG	dmsABC	fur	yhfA	sdhCDAB_b0725_sucABCD	fucPIKUR	mopB	mglBAC	malK_lamB_malM	pspABCDE	fecIR	sodA	tnaLAB	deoCABD	fepB	clpP	araBAD	speC	FruR	nfo	soxS	tonB	cyoABCDE	ibpAB	ecfABC	marRAB	crp	cyaA	araE	xprB_dsbC_recJ	ostA_surA_pdxA	ppiA	dnaA	ptsHI_crr	cirA	glgS	acs	yjdHG	ebgAC	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	malI	gntT	cydAB	manXYZ	htpY	ompC	dnaKJ	focA_pflB	dcuB_fumB	uhpT	araC	ansB	fnr	himA	cytR	narK	gntKU	icdA	appY	deoR	malS	fhuACDB	frdABCD	ecfD	malEFG	narL	ivbL_ilvBN
fepB	srlAEBD_gutM_srlR_gutQ	icdA	cytR	himA	yhfA	narK	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	gntKU	glgS	htrA	acs	ebgAC	araC	ansB	fnr	fur	caiF	nupG	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	ecfK	ivbL_ilvBN	uhpT	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	hflB	tsx	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
fecIR	cyoABCDE	gltA	ppiA	ostA_surA_pdxA	ansB	tdcABCDEFG	caiF	sodA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	deoCABD	tnaLAB	fur	fepB	glgS	htrA	acs	ebgAC	araC	fnr	himA	yhfA	nupG	ecfK	narK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	cytR	ivbL_ilvBN	gntKU	grpE	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	gntT	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	FruR	marRAB	tonB	soxS	nfo	rpoD	cydAB	tsx	uhpT	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	nrfABCDEFG	ecfG	melAB	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
